current_facet_id,facet_id,c,value
1,718,43,Retabel
1,4359,1086,Aufbau
1,2354,1407,Kulturveranstaltungen
1,1601,917,Jugend
1,778,7,Altarbild
1,3183,24,Plastik
1,1961,5,Skizze
1,1901,1,Klosterkirche
1,295,23,Brunnenskulptur
1,2320,1335,City
1,1730,2,Archivalien
1,1426,13,Studie
1,1911,138,Schrank
1,48,88,Figur
1,1261,9,Postkarte
1,2123,5,Dorfkirche
1,657,32,Tierfigur
1,513,4,Kloster
1,651,1226,Porträts
1,123,936,Gebäude
1,3966,9,Gefäß
1,2651,1,Kongress
1,3168,7,Frisör
1,814,3,Mosaikkunst
1,294,80,Innenraum
1,1874,12,Grafik
1,598,31,Verwaltungsgebäude
1,1249,1140,Musizierende
1,4972,56,Astronomie
1,246,6,Bagger
1,1370,60,Laden
1,2698,109,Theater / Oper
1,1491,98,Museum
1,482,14,Hochaltar
1,910,39,Fabrik
1,896,38,Schale
1,850,8,Stadttor
1,1360,24,Wappen
1,1022,1004,Konzert
1,2200,38,Hotel
1,2867,869,Schriftsteller
1,1771,737,Staatsbibliotheken
1,1777,3,Zeitung
1,569,94,Dorf
1,1412,39,Modellbau
1,373,18,Fenster
1,1143,942,Demonstrationen
1,719,1013,Reportagefotografie
1,5104,116,Gaststätte
1,703,949,Altstadt
1,1635,87,Kanne
1,385,729,Arbeit
1,733,675,Kirchen
1,628,726,Kinder
1,1479,8,vorbereitende Zeichnung
1,968,5,Taufstein
1,936,919,Innenstadt
1,1014,1,Sarkophag
1,357,14,Dresden
1,2463,17,Marktplatz
1,1053,917,Aktfotografie
1,467,859,Akte
1,1621,859,Erster Mai
1,931,879,DDR
1,231,859,Arbeitende
1,2324,115,Waffe
1,435,22,Modell
1,1192,99,Palais
1,5933,15,Leuchter
1,44,20,Möbelmessen
1,4303,10,Tor
1,7,8,Medaille
1,182,1,Kriegszerstörte Stadt
1,1271,7,Kleinskulptur
1,927,6,Tür
1,1674,113,Krankenhaus
1,872,68,Krug
1,1450,780,Kriege
1,861,11,Gartenskulptur
1,4629,11,Palast
1,772,11,Profanarchitektur
1,1397,180,Glasgefäß
1,913,23,Decke
1,678,556,Schlösser
1,765,475,Handel
1,4395,23,Teller
1,5300,90,Friedhof
1,1987,3,Sakralbau
1,963,1,Geographie
1,2925,14,Ortsansicht
1,3017,49,Park
1,1055,734,Festveranstaltungen
1,6962,17,Bibliothek
1,704,3,Kreuzgang
1,1123,568,Portfolio-Pöppelmann-Zwinger
1,4145,720,Freie Deutsche Jugend
1,1124,325,Festarchitektur
1,2233,264,Schiffe
1,465,526,Bibliotheken
1,1206,32,Stuhl
1,4273,3,Saal
1,2013,447,Schüler
2,4,347471,Fotos
2,1,279300,Fotografie
2,2,347882,Foto
2,10,1748,Architektur
