"id","name","count"
1081,"Katalog Länderkunde",656
3583,"Geschichte 1600-1930",654
1907,"gefaßt (polychrom)",653
2579,"Stall",653
4225,"Verkehr",653
1682,"Bibelbearbeitung",650
5240,"Geschichte 1724-1955",650
2058,"Reifen",648
582,"Römerzeit",647
681,"Regensburg",645
1444,"Ansichtskarte",645
1935,"Lyrik / Lied / Elegie / Ballade / Epigramm",645
2190,"Chemische Synthese",645
5826,"Verzeichnis",645
1010,"Fries",641
2107,"Forstwirtschaft",640
207,"Zimmer",639
3450,"Stühle",638
3819,"Druckschriften",637
2483,"Triebfahrzeug",636
1728,"Aquarell",635
2604,"Bandförderer",628
497,"Feste",622
509,"Partei; SPD",619
3378,"Pflanzen",618
768,"Epikedeion",613
8249,"RusDML",613
1079,"Pendants",610
2627,"Feinkeramik",609
4659,"Werbung",609
4093,"Rezeption",606
6418,"Bauelement",606
3120,"Lokomotive",605
2452,"Hafen",601
1074,"Chorgestühl",600
2853,"Siedlung",600
885,"Universität",599
3103,"Gewölbedekoration",599
2408,"Lageplan",598
2870,"Altarflügel",596
2928,"Mechanik",595
3130,"Ägypten <Altertum>",595
6541,"Harz",594
2032,"Beilage",593
577,"Tanz",591
701,"Seriendruck",588
1760,"Antiquitates_und_Archaeologia",588
247,"Grammatik",585
1098,"Gärten",585
2815,"Glaskunst",585
1122,"Supraporte",582
2981,"Gleisrichtmaschine",581
411,"Truhe",580
1630,"Nachrichtentechnik",579
3047,"Württemberg",578
5408,"Stadtbefestigung",577
1761,"Antiquitates_und_Archaeologia_ARCHAEO18",574
8269,"020",572
2101,"Schriftprobe",570
3349,"Funde",570
2850,"Rede",568
3175,"Geologie",567
219,"Archivoltenfigur",565
2712,"Orgel",565
1667,"Kuppelbild",564
3824,"Körperpflege",563
2142,"Gelegenheitsschrift:Hochzeit",561
2866,"Kind",560
383,"Fernmeldetechnik",556
570,"Grünes Gewölbe",554
3514,"Wörterbuch",552
2306,"Katholische Kirche",551
1017,"Metallurge für Hüttentechnik",550
7741,"Geschichte Asiens",549
2858,"Soziales",547
1289,"textiles Gewebe",544
702,"Familie",543
1128,"Topographische Karte",542
1145,"Ständebuch",542
4685,"Stromversorgung",542
1349,"Geldrechnung",540
616,"Medaillon",537
2562,"Sachsen",537
210,"Buch der Beispiele",535
334,"Württembergische Kunstkammer; Edles Metall",535
5872,"Schwestern; einzelne",534
5922,"Kaffee- und Teegeschirr",534
1073,"Darmstadt (Landkreis) / Kreis- und Stadtbildstelle",533
164,"Bad Nauheim / Kurverwaltung",530
448,"Schnitt",530
3392,"Satire",529
5257,"Tympanon",528
5829,"journal",527
183,"Technologie",526
1459,"Geschichte 1800-1900",526
578,"Tapete",523
2391,"Plakat",519
8449,"Gedenken",519
9265,"Geschichte Nordamerikas",518
12306,"Geschichte Südamerikas",517
1752,"Amtsdruckschrift",516
1821,"Chor",515
2718,"Zeichenkunst?",514
7672,"Geschichte 1500-1900",514
3850,"Kriegerdenkmal",513
908,"Hauswirtschaft",512
902,"autograph",511
2536,"Pokal",510
3383,"Regal",510
7194,"Geschichte Afrikas",510
3468,"Arie",508
6958,"Wohn- und Geschäftshäuser",506
2195,"Grenzen",504
1669,"Sakralbauten",501
1517,"Polizei",500
1942,"Finanzen",500
517,"Verwaltung",499
2688,"Kelch",499
1631,"Gartenarchitektur",498
4661,"Schiff",497
6013,"Krankenpflege",495
667,"Kaserne",494
12307,"Geschichte der übrigen Welt",494
2296,"Schulprogramm",491
873,"Längsschnitt",488
2429,"Maske",488
2675,"Gasse",488
2218,"Stapler",486
3137,"Westportal",486
4412,"Pharmazie",486
5890,"Torturm",486
4147,"Frau",485
2465,"Fahrzeuganhänger",484
6322,"Nebengebäude",483
1159,"Handel, Gewerbe, Dienstleistung",480
3527,"Gebäudeflügel",480
6159,"Deutschland <DDR>",480
1001,"Gaststätten",479
1466,"Latein",477
337,"Württembergische Kunstkammer; Geschirr",476
4198,"Industrie, Technik, Handwerk",476
7847,"x",476
4077,"19. Jhdt. / Frühe Moderne",475
2345,"sh2010119545",474
6006,"Botanik",473
975,"Reportage",472
2346,"sh2008113843",472
2679,"Garten",472
3105,"Sitzgruppe",472
2678,"Gartenkunst",471
626,"Staatliche Hochschule für Baukunst und Bildende Künste Weimar 1942-1945",470
449,"Wohn- und Wirtschaftsgebäude",469
3982,"Anbauwand",469
4855,"Säule",469
4254,"Chronik",468
4756,"Leipzig",468
3840,"Tod",467
442,"Italien",466
8313,"Gewändefigur",466
909,"Gutshof",464
2993,"Eß- und Serviergeschirr",464
1411,"Schiffsmodell",462
2462,"Rekonstruktionszeichnung",461
1481,"Gitter",460
189,"Architekturzeichnung",459
2412,"Tisch",459
776,"Anthologie",458
3156,"Tagungsszenen",458
3242,"Flugzeug",458
515,"Reform",457
2653,"Prosa-Lanzelot",457
7792,"Post",457
1330,"Mensch <Motiv>",455
2339,"Emailschild",455
3228,"Becher",452
3327,"oval",452
3996,"Andere Religionen",451
3205,"Baden-Württemberg",449
248,"Russisch",445
1191,"Ausstellungsgebäude",444
1446,"Archäologie",444
4754,"Museen",443
4801,"Denkmäler",442
193,"Textblatt",441
10041,"Bank",441
4146,"Fassadenskulptur",440
3262,"Kathedrale",439
6465,"Bildung, Wissenschaft, Kultur",439
950,"Wohn- und Gasthaus",436
1582,"Atlant",436
2185,"Komödie",436
3337,"Kriegskunde",436
4393,"Hochschulschrift / Dissertation / Matrikel / Vorlesung / Vorlesungsverzeichnis / Dissertationensammlung",436
2130,"Hoffmann, Heinrich (1885-1957)",435
190,"Streitschrift",434
1779,"Apotheke",434
5365,"310 - Statistiken",434
689,"Schematismus",432
3873,"Besucher",432
5364,"Hamburgensien: Historische Statistik",432
2550,"Bühne",430
6953,"Klebeband",430
6056,"Reisebericht",429
2567,"Schlafzimmermöbel",426
5696,"Abguss",426
2662,"Pionierlager",425
8284,"Altarflügel (Außenseite)",425
1884,"Unterhaltung",423
11836,"Kreuz",423
2251,"Lichtpause",422
4277,"L' Eclipse: journal hebdomadaire politique, satirique et illustré",422
1083,"Wissenschaft und Technik",421
2241,"Ingenieurbau und Umwelttechnik",421
3730,"Eßtische | Ausziehtische",421
4170,"SPD",421
5351,"Nationalsozialistische Deutsche Arbeiterpartei",421
4196,"Kapitellzone",420
4950,"Straßenszenen",420
7514,"Güterwagen, gedeckter",420
7533,"Stele",420
8103,"Baden",420
1375,"Hessischer Verkehrsverband (Darmstadt)",418
1216,"Menschen",417
1376,"Wohnhaus?",417
994,"Schwarzschlachtung",415
1655,"Gymnasium",414
2749,"Bebauungspläne",414
1868,"Festtage",413
630,"rechtlicher Text",412
4228,"Zierinitiale",412
6668,"Hebezeug",412
419,"Geschichte 1500-1930",411
2491,"Anbauküchen",409
2676,"Baufahrzeug",409
7028,"Vers",409
1378,"Siebdruck",407
4677,"Juden",407
