"id","value"
499,"Industrielle und handwerkliche Fertigung"
500,"Grafische Verfahren, Drucke"
501,"Fotografie, Computerkunst"
502,"Polyethylene"
503,"Zähigkeit"
504,"Rissausbreitung"
505,"Gefüge <Werkstoffkunde>"
506,"Grundrecht: Pressefreiheit"
507,"Kritik"
508,"Partei: CDU"
509,"Partei; SPD"
510,"Leichenpredigt"
511,"Psychologie"
512,"(3-8) \"序:\" ; (9-10) \"目録:\" ;"
513,"Kloster"
514,"Baden-Württemberg: Regierungspräsidium: Mittelinstanz"
515,"Reform"
516,"Siebziger Jahre"
517,"Verwaltung"
518,"Sortierverfahren"
519,"Falltür"
520,"Keller"
521,"Geographieschulbuecher Kaiserreich"
522,"Informatik"
523,"Messen"
524,"Geometrie"
525,"Oberfinanzdepartement"
526,"Drittes Reich"
527,"Weimarer Republik"
528,"Zweiter Weltkrieg"
529,"Geografie, Reisen (Deutschland)"
530,"Geschichte Deutschlands"
531,"multi-gap integration"
532,"elliptic-hyperelliptic covering"
533,"Riemann theta- functions"
534,33E05
535,"35Q99"
536,"14K25"
537,"quadrature formulas"
538,"multiple singular integrals"
539,"Cauchy type"
540,"Poincare- Bertrand formula"
541,"квадратурные формулы"
542,"сингулярные интегралы произвольной кратности"
543,"формула Пуанкаре-Бертрана"
544,"65D32"
545,"41A55"
546,"41A63"
547,30E20
548,"Üwers Låterle steig i nit auffi, der Woldbåm der is mer z'hoch drob'm"
549,"Männer"
550,"Arbeitskämpfe"
551,"Brücken"
552,"Eisenbahnanlagen"
553,"Fähren"
554,"Fernmeldeanlagen"
555,"Objektschutz"
556,"Sabotageakte"
557,"Streik(s)"
558,"Tunnels"
559,"Versorgungsanlagen"
560,"Werkspionage"
561,"Kruzifix"
562,"Geldwesen"
563,"Befestigungselement"
564,"Anker <Bauwesen>"
565,"Bruchmechanische Prüfung"
566,"Reisezugwagen"
567,"historisierte Initiale (18-zeilig)"
568,"Druckgraphik"
569,"Dorf"
570,"Grünes Gewölbe"
571,"Büste"
572,"Gemälde (Ölgemälde im Holzrahmen)"
573,"Die 24 Ältesten"
574,"Lehnstuhl"
575,"Ausstellung"
576,"Muziekfilosofie"
577,"Tanz"
578,"Tapete"
579,"Cavour <Italien>"
580,"Vase"
581,"Glas"
582,"Römerzeit"
583,"Weltfestspiele der Jugend und Studenten"
584,"Tempel"
585,"Plastik, Numismatik, Keramik, Metallkunst"
586,"Biografie, Genealogie, Heraldik"
587,"Kirche (katholisch)"
588,"Schlafwagen"
589,"Pfändungen"
590,"Pfandversteigerungen"
591,"Rentgefälle"
592,"Steuern"
593,"Versorgungsbezüge"
594,"Ouvertüren"
595,"Skizzen"
596,"Reichstagung für höhere Mädchenbildung"
597,"Landesbibliotheken"
598,"Verwaltungsgebäude"
599,"Pressefotografie"
600,"Meningitis tuberculosa"
601,"Miliartuberkulose"
602,"Streptomycin"
603,"Grundriss Keller, Grundriss 1. OG"
604,"Lichtpause, Feder, laviert"
605,"Militär"
606,"Plan"
