timeId,name,keywordId,count
7,Festveranstaltungen,1055,431
7,Kulturveranstaltungen,2354,428
7,Sozialwesen,1290,420
7,Arbeiten auf Papier,418,410
7,Schwarzschlachtung,994,404
7,Geschichte,184,398
7,Volksschädlingsverordnung,6687,398
7,Heimtückegesetz,4239,387
7,Handwerk,40,374
7,Kinder,628,370
7,Sonstiges &,1167,363
7,Tiere,315,340
7,Schulen,1503,335
7,Porträts,651,332
7,Haar- und Bartpflege,2794,328
7,Arbeitende,231,317
7,Jugendtreffen,4506,314
7,Gesellschaft für Deutsch-Sowjetische Freundschaft | DSF,1275,311
7,Bergbau,1140,310
7,Schlösser,678,298
7,Pionierlager,2662,297
7,Freizeit,311,280
7,Kirchen,733,280
7,Wandmalerei,111,274
7,Wandbild,145,272
7,Reportage,975,270
7,Denkmalskulptur,412,268
7,Erster Mai,1621,266
7,Entnazifizierung,2053,261
7,Gedenken,8449,261
8,Monografie,21,186928
8,Fotos,4,78214
8,Prospekt,25,71282
8,Foto,2,69601
8,Fotografie,1,62759
8,"Medizin, Gesundheit",22,53797
8,Luftbildschrägaufnahme,62,23655
8,Standfoto,166,17572
8,"Biowissenschaften, Biologie",235,14148
8,Wirtschaft,115,12059
8,Physik,320,10604
8,Ingenieurwissenschaften und Maschinenbau,253,9337
8,Chemie,215,9048
8,Geografie,271,7955
8,Informatik,522,7271
8,AV-Materialien,31,7185
8,"Landwirtschaft, Veterinärmedizin",263,7023
8,Online-Publikation,178,5389
8,Mathematik,363,4311
8,Personenkraftwagen,1673,4008
8,Geowissenschaften,168,3622
8,"Erziehung, Schul- und Bildungswesen",262,3476
8,Technische Chemie,152,3284
8,Management,427,3199
8,"Astronomie, Kartographie",18,2860
8,Tiere,315,2787
8,Messgerät,1004,2759
8,"Sozialwissenschaften, Soziologie, Anthropologie",39,2713
8,Psychologie,511,2603
8,"Soziale Probleme, Sozialdienste, Versicherungen",1542,2251
8,Industrielle und handwerkliche Fertigung,499,2178
8,Pflanzen (Botanik),314,2065
8,Brennkraftmotor,118,2032
8,Recht,12,1856
8,Politik,72,1773
8,Flurförderer mit Hubeinrichtung,3537,1747
8,Band,179,1667
8,Lastkraftwagen,676,1614
8,Musik,319,1603
8,Fortlaufendes Sammelwerk,447,1467
8,Elektromotor,930,1440
8,elektrisch,1359,1436
8,"EDV, Anwendung",1018,1403
8,City,2320,1338
8,"Handel, Kommunikation, Verkehr",196,1329
8,Bauwerk,2048,1327
8,Reisezugwagen,566,1297
8,Lagereiwesen,26,1292
8,Architektur,10,1240
8,Trailer,1615,1235
8,Landschaft,287,1178
8,Güterwagen,632,1158
8,Bagger,246,1132
8,Baumaschine,1529,1084
8,"Deutsches Filminstitut - DIF e.V., Standfoto",307,1035
8,Geschichte,184,966
8,Straßenbaumaschine,5776,939
8,Altstadt,703,938
8,Malerei,132,931
8,Druck,51,926
8,Innenstadt,936,923
8,Philosophie,780,912
8,Druckgrafik,50,905
8,elektronisch,3620,902
8,Staatsbibliotheken,1771,884
8,Bremse,886,874
8,Natur,380,861
8,Gebäude,123,825
8,Deutschland,1482,797
8,"Landschaftsgestaltung, Raumplanung",1454,783
8,"Natürliche Ressourcen, Energie und Umwelt",310,774
8,Aufsatzsammlung,1814,768
8,Schienenfahrzeug,2074,763
8,Technik-Katalog,52,758
8,Gabelstapler,3125,749
8,Kleintransporter,313,742
8,Druckerzeugnis,454,734
8,Bibliotheks- und Informationswissenschaft,1212,725
8,"Elektrotechnik, Elektronik",6464,717
8,Karten und Pläne,82,716
8,Oberbaumaschine,135,715
8,Kunst,421,704
8,Berufsausbildung,1581,694
8,Container,2703,670
8,Kran,355,654
8,Reifen,2058,647
8,Paläontologie,2355,637
8,Triebfahrzeug,2483,636
8,Bandförderer,2604,628
8,"Hausbau, Bauhandwerk",977,624
8,Ausstellungen,1377,624
8,Deutsches Filminstitut - DIF e.V.,1616,609
8,Bauelement,6418,606
8,Lokomotive,3120,598
8,Kongress,2651,597
8,Bibliotheken,465,584
8,Gleisrichtmaschine,2981,581
