timeId,name,affiliateId,count
6,Forstamt Walldürn,1633,155
6,Kriegsgericht der stellvertretenden 51. Infanterie-Brigade,47556,153
6,Landgericht Offenburg,14507,151
6,"Ubbelohde, Otto",4834,147
6,Forstamt Forbach I,7660,140
6,"Schinkel, Karl Friedrich",8354,136
6,Forum für Nachlässe von Künstlerinnen und Künstlern e.V.,2214,131
6,"Richter, Regine (Fotograf)",61,129
6,Forstamt Philippsburg,4475,128
6,Museumsberg Flensburg,2832,125
6,Statistisches Landesamt,7000,122
6,Hessisches Staatsarchiv (Marburg),1054,121
6,"Württemberg, Wilhelm II.; König, 1848-1921 | 11910539X",3091,120
6,Forstamt Ettlingen,4003,118
6,"Staatsbibliothek zu Berlin - Preußischer Kulturbesitz, Germany",1266,117
6,"Urach, Wilhelm (II.) Herzog von, Graf von Württemberg; General der Kavallerie, Thronprätendent für Litauen, 1864-1928",857,114
6,Innenministerium,2248,111
6,Landesaufnahme Preussen,9003,111
6,Forstamt Heidelberg,7811,111
6,"Erlwein, Hans",50663,111
6,Hirt,8336,110
6,Oberamt Waldsee,13134,109
6,Generaldirektion der bad. Staatseisenbahnen,837,108
6,Eisenbahngeneraldirektion Karlsruhe,17188,106
6,Württ. Wirtschaftsministerium,15572,105
6,"Slevogt, Max",13342,104
6,"Gräbner, Julius Wilhelm",6010,103
6,Preußisches Staatshochbauamt Sigmaringen (Provenienzen Registraturbildner),1684,102
6,"Jaumann, Anton",10885,101
7,"Höhne, Erich (Fotograf)",4,39563
7,"Pohl, Erich (Fotograf)",5,39560
7,"Pisarek, Abraham (Fotograf)",1,30341
7,Willy Pragher,27,7574
7,"Peter, Richard sen. (Fotograf)",407,4108
7,"Rössing, Roger (Fotograf)",200,2858
7,"Rössing, Renate (Fotograf)",201,2858
7,Bundesbahndirektion Karlsruhe,205,2445
7,Spruchkammer Südbaden,345,2422
7,"Eschen, Fritz (Fotograf)",188,2267
7,Landratsamt Buchen,29,2104
7,Finanzministerium Württemberg-Hohenzollern,268,1871
7,"Grasser, Franz (Fotograf)",1000,1722
7,Staatskanzlei Württemberg-Hohenzollern,3537,1642
7,Finanzministerium Freiburg,500,1411
7,"Filmnegative, Ordner 290 (1941 - 1944)",1698,1390
7,Alexej von Assaulenko-Kulturstiftung,715,1289
7,"Assaulenko, Alexej von",716,1289
7,Preußische Regierung Sigmaringen,326,1281
7,Präsidialabteilung,3553,1150
7,Unbekannter Fotograf (Fotograf),585,1054
7,"Dix, Otto",5055,983
7,Saarländisches Schulmuseum Ottweiler,835,963
7,"Aufsberg, Lala (Fotograf)",537,937
7,"Richter, Etha",2533,865
7,"Filmnegative, Ordner 287 (Portraits)",686,735
7,"Peter, Richard jun. (Fotograf)",2297,664
7,Technoseum,755,644
7,"Filmnegative, Ordner 274 (Moldau)",3449,594
7,Domänenkanzlei,131,576
